"cohort","candidate_id","entity_key","topic","category","importance","published_at_utc","legacy_fetched_at_utc","legacy_fetch_lag","legacy_source_url","alternate_evidence_url","alternate_evidence_published_at_utc","new_route_first_seen_at_utc","new_route_result","fallback_required","fallback_lane","replay_aliases","notes"
"reconstructed_equivalent_sep04_to_15","25c28b26-4f14-48bc-a4cc-5b58147509c5","breaking:fx_intervention","FX intervention / Japan MOF","fx_intervention","important","2026-09-04T00:00:00Z","2026-09-04T13:38:19.481681Z","13h38m19s","https://www.mof.go.jp/public_relations/conference/my20260904.html","","","","unproven","yes","central-bank/FX","yen intervention; Japan Ministry of Finance; coordinated FX intervention","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","e18a6918-5c39-446b-aac6-f61a340875fa","breaking:us_economic_data","US August payrolls / BLS","us_economic_data","important","2026-09-04T12:30:00Z","2026-09-04T13:38:19.592860Z","1h08m19s","https://www.bls.gov/news.release/archives/empsit_09042026.htm","","","","unproven","yes","US macro/labor","BLS; August payrolls; nonfarm payrolls; unemployment rate","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","62b9da1b-d404-449d-ad9f-0ceaf6593ee2","breaking:market_move","JPY/USD sharp move / Nikkei","market_move","important","2026-09-03T20:40:56Z","2026-09-04T13:40:23.006458Z","16h59m27s","https://big.nikkei.com/","","","","unproven","yes","FX/market move","yen; USD/JPY; sharp FX move; ¥5 appreciation","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","6328739b-0198-4a55-aae6-48781bae9d47","breaking:conflict","US-Iran / Hormuz shipping","conflict","important","2026-09-04T09:31:35Z","2026-09-04T14:00:21.876909Z","4h28m46s","https://apnews.com/article/49d0cb10d83827e52b56b5280e7d048d","","","","unproven","yes","war/geopolitics; shipping chokepoints","US Iran conflict; Strait of Hormuz; tanker traffic; shipping disruption","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","7107598b-74ce-4b24-9ac3-bb6df151a1c3","breaking:conflict","US-Iran / Kuwait / Vance","conflict","important","2026-09-04T00:30:10Z","2026-09-04T14:00:22.166821Z","13h30m12s","https://apnews.com/article/7ab86fbec23313f055fc2ab47933c199","","","","unproven","yes","war/geopolitics","Vance; Iran; Kuwait attack; US-Iran conflict","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","db341e8c-f94c-4fb3-aa25-9d6599f1580b","breaking:conflict","US-Iran conflict comments","conflict","important","2026-09-04T20:21:49Z","2026-09-04T21:00:26.461597Z","0h38m37s","https://apnews.com/article/23a45a2c45c048a9e894baeab89c7a2f","","","","unproven","yes","war/geopolitics","Trump Iran conflict; US-Iran war; conflict status","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","aa6cf74a-3aad-433e-a990-9c3e655d4cf9","breaking:conflict","Israel-Hezbollah / Ali Taher ridge","conflict","important","2026-09-05T06:35:26Z","2026-09-05T07:00:23.047433Z","0h24m57s","https://apnews.com/article/6a083aa8bd1372c2ad25571e58d82a25","https://www.aljazeera.com/amp/news/2026/9/5/israel-claims-control-of-lebanons-key-ali-al-taher-ridge-what-that-means","","","unproven","yes","war/geopolitics","Ali Taher; Ali al-Taher; Hezbollah; southern Lebanon ridge","Al Jazeera page is dated Sep 5 but has no exact publication time in evidence; new collector first-seen unavailable. Previous +45m comparison remains unproven."
"reconstructed_equivalent_sep04_to_15","1e74ee68-84b1-4cc0-9375-40f8f977439a","breaking:conflict","Russia-Ukraine / Kyiv strike pause","conflict","important","2026-09-05T09:04:33Z","2026-09-05T13:00:21.784948Z","3h55m48s","https://apnews.com/article/36a991feaff241bb8f24857ac159202a","","","","unproven","yes","war/geopolitics","Kyiv; 72-hour pause; Russia strikes; Ukraine","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","0c74d6b8-c074-4867-91f4-230c9a315450","breaking:conflict","Iran / tanker strikes / Hormuz","conflict","most_important","2026-09-05T13:53:46Z","2026-09-05T16:00:20.481329Z","2h06m34s","https://apnews.com/article/b3650799901c56a6deeca962cbaa4109","","","","unproven","yes","war/geopolitics; shipping; energy","Iran tankers; Hormuz; US military tanker strike","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","efb55e57-929a-4271-b497-9c31bcced2e0","breaking:us_economic_data","US August payrolls / AP","us_economic_data","important","2026-09-05T14:11:18Z","2026-09-05T18:20:22.721005Z","4h09m04s","https://apnews.com/article/2c0c0495d4931d3724e0144285cfa010","","","","unproven","yes","US macro/labor","August jobs; payrolls; BLS; unemployment","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","2fca95bc-64b1-44b9-88df-766bed61f861","breaking:conflict","Iran / tanker strikes / Hormuz follow-up","conflict","most_important","2026-09-05T10:14:08Z","2026-09-05T19:00:23.970298Z","8h46m15s","https://apnews.com/article/4972c370161bccbaf67f8de131095158","","","","unproven","yes","war/geopolitics; shipping; energy","Iran tankers; Hormuz; US military struck tankers","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","c1f36636-6a29-4de7-ba94-63dc762df565","breaking:fx_intervention","Japan official reserve assets","fx_intervention","important","2026-09-07T00:00:00Z","2026-09-07T01:20:16.384447Z","1h20m16s","https://www.mof.go.jp/english/policy/international_policy/reference/official_reserve_assets/e0808.html","","","","unproven","yes","central-bank/FX","Japan official reserve assets; Ministry of Finance; foreign reserves","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","7b92cd33-a9a4-48ba-8714-bd01b364403a","breaking:conflict","Israel-Lebanon airstrikes","conflict","important","2026-09-07T09:10:00Z","2026-09-07T15:00:26.083051Z","5h50m26s","https://apnews.com/article/691deb2ccb571ec83c552efb794568cd","","","","unproven","yes","war/geopolitics","Israeli airstrikes; Lebanon; Hezbollah escalation","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
"reconstructed_equivalent_sep04_to_15","a91f742e-b1f9-48ac-b49d-5ae5a82df85d","breaking:trump_tariff","Canada-US tariffs","trump_tariff","important","2026-09-08T14:13:01Z","2026-09-08T17:00:24.039694Z","2h47m23s","https://apnews.com/article/461f9e97f78983653c59408c0b55757a","https://www.canada.ca/en/department-finance/news/2026/08/list-of-products-from-the-united-states-subject-to-counter-tariffs-effective-september-8-2026.html","","","unproven","yes","trade/tariffs/sanctions","Canada counter-tariffs; US goods; C$27.6bn; September 8","Official Canada page confirms counter-tariff source material/effective date, but not the replacement collector's historical first-seen time."
"reconstructed_equivalent_sep04_to_15","822889af-d26e-45b0-a3d5-d8c809a8e461","breaking:conflict","Houthi capture of Mayun/Perim island / Red Sea","conflict","important","2026-09-11T11:29:23Z","2026-09-11T14:20:20.114482Z","2h50m57s","https://apnews.com/article/476237dd3bf568d946d2b16c7b45a687","https://www.theguardian.com/world/2026/sep/11/iran-houthi-allies-capture-strategic-island-bab-al-mandab-strait","2026-09-11T12:00:00Z","","unproven","yes","shipping chokepoints; war/geopolitics","Mayun; Perim; Bab el-Mandeb; Houthi; Red Sea shipping","Guardian first published 08:00 EDT (12:00 UTC), 30m37s after AP published_at and 2h20m20s before legacy fetched_at; publication is not GDELT/collector first-seen. Prior +7h comparison is not reproducible from this evidence."
"reconstructed_equivalent_sep04_to_15","414998c4-e340-4339-bb66-fb91c01ba601","breaking:conflict","Saudi East-West pipeline / Iraq origin","conflict","important","2026-09-12T06:59:44Z","2026-09-12T08:20:30.725514Z","1h20m46s","https://apnews.com/article/324485fad65647d4a897d5bfdcb7849c","","","","unproven","yes","energy/infrastructure; war/geopolitics","Saudi East-West pipeline; Iraq-origin drones; oil exports","The legacy source publication and fetch timestamps are available; replacement collector first-seen/ingestion timestamp was not present in the read-only evidence. Alias list is for a future controlled replay only, not proof a query was run."
